x:egg_data,y:state,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,y'__25,y'__26,y'__27,y'__28,y'__29,y'__30,y'__31,y'__32,y'__33,y'__34,y'__35,y'__36,y'__37,y'__38,y'__39,y'__40,y'__41,y'__42,y'__43,y'__44,y'__45,y'__46,y'__47,y'__48,y'__49,y'__50,y'__51,y'__52,y'__53,y'__54,y'__55,y'__56,y'__57,y'__58,y'__59,y'__60,y'__61,y'__62,y'__63,y'__64,y'__65,y'__66,y'__67,y'__68,y'__69,y'__70,y'__71,y'__72,y'__73,y'__74,y'__75,y'__76,y'__77,y'__78,y'__79,y'__80,y'__81,y'__82,y'__83,y'__84,y'__85,y'__86,y'__87,y'__88,y'__89,y'__90,y'__91,y'__92,y'__93,y'__94,y'__95,y'__96,y'__97,y'__98,y'__99
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_060.csv,0,0.92927456,0.0018030053,0.0022519156,0.0006740404,0.0006867987,0.0007027974,0.00068848603,0.0006884276,0.00069293234,0.00069257786,0.00067942415,0.0006645207,0.00069902604,0.000694238,0.0006832155,0.0006840654,0.0006793986,0.0007164532,0.00072102505,0.000685254,0.00067573186,0.00066117983,0.00068182714,0.0007017419,0.00068063627,0.00067919196,0.0007097714,0.0007231526,0.0006986092,0.00068962516,0.00068811513,0.00065855443,0.00069438835,0.00066847424,0.00066585414,0.0006784439,0.0007019413,0.00068379496,0.00070631824,0.0006808447,0.0007021204,0.0006761041,0.00067821523,0.0006539912,0.0007030508,0.00067524967,0.0006613993,0.00067830674,0.0006865403,0.00069978373,0.000681007,0.0006806161,0.0006596113,0.0006737946,0.0006822593,0.00065229944,0.00066911336,0.0007180298,0.00066606153,0.0006941507,0.0007005129,0.0006527108,0.00069091737,0.00070639135,0.0006877812,0.0007000411,0.0007014769,0.00068263453,0.0007338656,0.0007146386,0.0006746922,0.0006825418,0.0006866114,0.00072487147,0.00069979276,0.00069894874,0.0006804902,0.00066305266,0.00066897296,0.0007016552,0.00069506577,0.000696799,0.0006747203,0.0007051703,0.0006719945,0.00067928684,0.0006914939,0.0006897916,0.000674451,0.0006894631,0.0006650006,0.0006935832,0.0007000678,0.0007012221,0.00069232227,0.0006586939,0.0007162919,0.00068006205,0.00070938567,0.0006807281
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_061.csv,0,0.9453724,0.0025287343,0.002308342,0.0005024894,0.0005217982,0.0005305509,0.00051696046,0.0005176008,0.00051173504,0.00050470873,0.0005082652,0.00049317733,0.00051949784,0.0005170847,0.00050836435,0.00050648797,0.00050561584,0.00052875397,0.00053157145,0.00051932887,0.000503125,0.0004979954,0.00051929767,0.00052012195,0.00050441927,0.00049711386,0.0005276138,0.0005357761,0.00052009366,0.0005176956,0.00051200495,0.0004901392,0.00053657044,0.00050928246,0.00050731556,0.0005076863,0.0005213411,0.0005083893,0.0005321674,0.00050883804,0.0005232074,0.00050144555,0.000508863,0.00048442843,0.0005133578,0.0005023064,0.00049773906,0.000510697,0.00051632954,0.000511963,0.00050822546,0.00051496126,0.0004942746,0.0005098365,0.000514879,0.00048977335,0.00049441936,0.00053270947,0.00050241704,0.00051469705,0.00052406284,0.00048698255,0.0005105451,0.00052205805,0.0005179385,0.0005236674,0.00051755586,0.0005056443,0.0005479881,0.0005365052,0.0005067948,0.0005060515,0.00051164575,0.0005357426,0.0005161745,0.0005227391,0.00051088654,0.00049409526,0.0004937969,0.00052811345,0.00051913527,0.00052245625,0.0005083806,0.0005202482,0.0005053527,0.00051012216,0.00052941113,0.00052469195,0.0005086362,0.0005134044,0.0005060636,0.00050797063,0.0005229874,0.00051633426,0.0005188482,0.0004946641,0.0005375203,0.0005037326,0.000525631,0.0005086793
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_062.csv,0,0.9244556,0.004875519,0.0039841165,0.0006772006,0.0007038751,0.00071205327,0.0006931843,0.00069125136,0.00068515225,0.00068037066,0.00067103154,0.0006588919,0.00069410447,0.0006965035,0.00068537804,0.0006824941,0.0006799737,0.00070768205,0.0007108358,0.00070614397,0.00067387027,0.0006644727,0.00069814274,0.0007025586,0.00068074383,0.00065756735,0.0007086853,0.0007160977,0.0006993289,0.000695484,0.00068946485,0.00065376126,0.0007131288,0.00068566436,0.0006731762,0.00068271864,0.0006893593,0.00067749,0.0007141466,0.00068317034,0.0007031294,0.0006720863,0.0006883588,0.0006492096,0.0006888776,0.00066576444,0.00066466787,0.000679239,0.00068655855,0.0006908121,0.0006803126,0.0006963003,0.0006644923,0.0006871428,0.0006887016,0.00065281737,0.00065932306,0.0007159571,0.0006745061,0.0006940048,0.00070007495,0.00064752955,0.0006810013,0.000699535,0.00069597433,0.0007035036,0.0006990942,0.00068338896,0.0007296559,0.00071856426,0.00067797705,0.0006758651,0.0006847564,0.00071585196,0.00069544616,0.00069736654,0.000686751,0.0006638114,0.00065815204,0.0007127487,0.00069807685,0.0006996514,0.00067091314,0.00069621665,0.00067871873,0.00067484775,0.00071599364,0.0007004426,0.0006738796,0.00068799587,0.00067540794,0.00068075256,0.00069934997,0.00069291925,0.0006879365,0.00065936963,0.0007133267,0.00067021674,0.00070640934,0.0006777851
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_063.csv,0,0.92389864,0.0055489717,0.0023655694,0.00068526436,0.0007008519,0.0007168289,0.00070349633,0.00070047873,0.0007073896,0.00071078533,0.00069891365,0.0006829382,0.0007189736,0.00070831884,0.00070030073,0.00069873495,0.00069522246,0.000729847,0.0007302609,0.00070154836,0.00069757615,0.0006723592,0.0007074163,0.0007212928,0.0007017906,0.00069264445,0.00072485337,0.0007473526,0.0007120632,0.0007082638,0.0006989276,0.0006709961,0.0007129724,0.0006830164,0.00068170705,0.00069252326,0.00071564346,0.000700751,0.0007242602,0.0006987876,0.0007149344,0.00068771973,0.00069421605,0.0006706212,0.00072159205,0.00068789034,0.0006741445,0.0006958038,0.00070487673,0.0007131448,0.0006964524,0.000705142,0.00067257724,0.00069486746,0.0007014761,0.0006638672,0.0006795475,0.00073358417,0.00068035285,0.0007053377,0.0007163092,0.0006609884,0.00070705236,0.00072561315,0.0007047013,0.00071497355,0.0007157039,0.0006944289,0.00075352384,0.0007287193,0.0006879408,0.0006956917,0.000703047,0.00073630887,0.0007100756,0.0007179629,0.0006917764,0.0006792404,0.00068564905,0.0007251621,0.00071854785,0.0007099927,0.00069091894,0.00072188495,0.0006888271,0.0007002269,0.0007099734,0.0006968238,0.0006972918,0.000703842,0.00067913736,0.0007069819,0.0007118103,0.00071610184,0.0007071667,0.0006692182,0.00073367934,0.00069622596,0.00072496437,0.0006954078
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_064.csv,0,0.9371285,0.0020502114,0.0018187284,0.00059630023,0.00060243346,0.00061865046,0.00060142664,0.00060534326,0.00061373133,0.0006209818,0.00060094043,0.00059231755,0.00062191725,0.0006140041,0.00060773775,0.0006066332,0.00060293125,0.0006378036,0.00063631387,0.0006025949,0.00060169195,0.0005815764,0.00059844146,0.000625286,0.00060601416,0.0006092433,0.0006305124,0.00064729166,0.00061769894,0.0006064828,0.0006082416,0.0005829424,0.0006041535,0.0005824895,0.00057774456,0.0005963279,0.0006258307,0.00060513086,0.00062371965,0.0006050195,0.0006200787,0.00059814024,0.0005947983,0.000582809,0.00063395617,0.00059780147,0.0005819969,0.00060091174,0.0006055044,0.00061988446,0.000604384,0.0006032677,0.00058407814,0.0005934911,0.00059933873,0.0005750385,0.00059347495,0.00063697743,0.00058626273,0.0006148212,0.0006192469,0.0005756077,0.0006177508,0.0006304216,0.00060449267,0.00061742094,0.0006204685,0.000604821,0.0006546695,0.000629845,0.0005963648,0.00060580584,0.000609056,0.00064131006,0.00061789545,0.00062346127,0.00059791235,0.00058659766,0.00059947907,0.0006189461,0.0006207769,0.0006146635,0.0005951226,0.00062969455,0.0005912387,0.0006068409,0.0006036248,0.00059981534,0.0005982563,0.000610052,0.00058211124,0.0006223884,0.0006164772,0.000624238,0.0006124812,0.0005812326,0.0006395886,0.00060809514,0.00062719354,0.00060214225
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_065.csv,0,0.94718933,0.0011901859,0.0027998341,0.0004956675,0.00051578,0.00052335777,0.00051137316,0.0005113946,0.00050325255,0.00049554725,0.00049194554,0.00047986177,0.0005063763,0.0005152925,0.0005021605,0.00049836194,0.0004984408,0.00051571976,0.00052282447,0.0005161404,0.0004888381,0.00048622277,0.00050920754,0.0005117176,0.0004917054,0.00048483044,0.0005190063,0.0005233251,0.0005106317,0.0005006222,0.00050509267,0.00047855588,0.0005228405,0.00050502765,0.0004987858,0.0005002411,0.0005038911,0.00049821887,0.0005172661,0.00050293136,0.0005150159,0.00048979523,0.00050292053,0.00047269624,0.0005026197,0.0004911854,0.00048960675,0.0004989904,0.00050054444,0.00051010336,0.0004953058,0.00050017127,0.00048523312,0.00049625925,0.0004987451,0.00048010075,0.00048211517,0.0005244792,0.00049116806,0.0005104761,0.0005119001,0.00047860903,0.00049852283,0.00050827116,0.000510001,0.000515613,0.0005115658,0.00050173013,0.0005356825,0.0005272817,0.0005017866,0.0004957888,0.0004994255,0.0005252574,0.00050961546,0.0005150719,0.0005036523,0.00048538652,0.00047934178,0.0005197703,0.0005042855,0.00051410834,0.000492251,0.0005086693,0.0004961814,0.00049175206,0.0005250588,0.00051748444,0.00049795007,0.00050638337,0.0004944985,0.0004996175,0.0005135289,0.000507234,0.00050559145,0.00048636724,0.00052226864,0.0004909585,0.00051690347,0.00049534027
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_066.csv,0,0.9392632,0.0020169183,0.0022384604,0.00057272014,0.00058749906,0.0005987925,0.0005853322,0.0005867485,0.0005859594,0.00058216625,0.00057236117,0.00055889133,0.0005884001,0.0005938268,0.0005807998,0.0005800625,0.0005763443,0.00060380524,0.0006093659,0.0005881942,0.00056813285,0.00056065567,0.0005799237,0.00059358845,0.00057246676,0.0005724419,0.0006017384,0.0006100596,0.00059165666,0.0005795585,0.00058459584,0.0005554592,0.0005921447,0.0005729411,0.0005676804,0.0005756362,0.00059002824,0.00057728245,0.00059725123,0.00057932833,0.0005950541,0.00057012454,0.0005763935,0.00055150886,0.0005921625,0.00057146885,0.0005623491,0.0005745964,0.00057819905,0.00059443025,0.0005747142,0.0005763619,0.0005602195,0.00057073,0.0005749318,0.0005537627,0.0005636611,0.00060823775,0.0005656805,0.00059087743,0.0005919137,0.0005539676,0.00058263,0.0005944175,0.0005854804,0.0005941338,0.00059385085,0.0005812309,0.00062179833,0.00060676737,0.0005765403,0.00057646417,0.0005798606,0.00061132136,0.00059295306,0.00059493753,0.00057982805,0.00056128955,0.0005619173,0.00059686066,0.00058524683,0.0005922924,0.0005687625,0.0005948723,0.0005709502,0.0005723287,0.0005940839,0.00058980996,0.00057301595,0.00058480434,0.000564852,0.00058647484,0.0005942769,0.00059276057,0.000585285,0.0005601661,0.000606328,0.00057395553,0.0005996305,0.00057399634
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_067.csv,0,0.930252,0.0031735024,0.0015664137,0.00065177516,0.00065622083,0.0006766168,0.0006621493,0.0006648287,0.00067577336,0.00068490213,0.0006687174,0.0006552559,0.00068735785,0.00067397,0.00066977943,0.00066634954,0.00066441885,0.0007038017,0.0006968385,0.00065759063,0.0006670846,0.00063831004,0.00066320406,0.0006909249,0.00067127,0.0006732296,0.0006938246,0.00072000077,0.00067992316,0.000667496,0.0006668877,0.0006439867,0.0006658725,0.00063498045,0.0006375022,0.0006537682,0.0006918338,0.0006694729,0.00068775227,0.0006675727,0.000682093,0.0006579193,0.0006527007,0.00064531894,0.00069963024,0.0006614831,0.0006397474,0.0006641918,0.0006689196,0.00067971344,0.00066131057,0.00067017943,0.0006432685,0.0006563689,0.0006624446,0.00063282653,0.00065473403,0.00070014916,0.00064464204,0.00067179324,0.00068374467,0.00063277036,0.0006830574,0.00069794984,0.00066490984,0.00067972735,0.0006789163,0.0006628781,0.00072204025,0.00069253123,0.00065694534,0.00066853635,0.0006725551,0.00070468115,0.0006767672,0.0006867662,0.00065490045,0.0006460215,0.0006623947,0.0006824167,0.0006863848,0.0006759622,0.0006605038,0.0006973494,0.0006496894,0.0006775657,0.0006608012,0.00065405876,0.00066653546,0.0006710992,0.00063946046,0.00068531994,0.0006805359,0.0006867891,0.00067795644,0.0006395147,0.00070579053,0.0006748402,0.0006914977,0.0006645548
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_068.csv,0,0.9404369,0.002568519,0.001957684,0.0005543273,0.0005680846,0.0005804299,0.00056682236,0.00056676933,0.0005702961,0.00056988775,0.0005623467,0.0005504776,0.000577968,0.0005723598,0.0005633719,0.0005620676,0.0005612331,0.00058922946,0.0005900431,0.0005668413,0.00055998284,0.0005440825,0.0005674876,0.0005801131,0.00056285877,0.0005575439,0.0005854888,0.0006009782,0.00057562115,0.00057034096,0.0005655955,0.0005434291,0.0005785388,0.0005508237,0.00055293785,0.0005586224,0.0005801236,0.00056495453,0.00058399624,0.0005628985,0.0005787802,0.00055523997,0.00055888196,0.00053971255,0.00057923794,0.0005572023,0.00054711546,0.0005624939,0.00056718005,0.0005714429,0.0005605521,0.0005678574,0.00054529594,0.0005591285,0.000564706,0.00053776783,0.0005498582,0.00059085,0.000549507,0.0005690408,0.0005804634,0.00053651666,0.00057091675,0.0005829103,0.0005675001,0.0005775253,0.00057585805,0.0005612449,0.00060785504,0.0005902052,0.0005580109,0.00056272006,0.00056729605,0.00059530925,0.00057256146,0.0005803865,0.0005603843,0.0005461784,0.0005517935,0.00058192445,0.00057889504,0.000574332,0.0005602224,0.0005813409,0.00055328285,0.00056743104,0.0005733743,0.0005671622,0.00056305906,0.000568158,0.00054997805,0.0005701936,0.0005775677,0.0005765293,0.00057175936,0.00054352084,0.00059361133,0.0005622204,0.00058419205,0.0005617517
C:\Users\yamas\Desktop\20240128\raw0_9x100\fft_069.csv,0,0.93167895,0.0033800262,0.0022562041,0.0006317021,0.0006561249,0.0006685935,0.00065378234,0.00065487716,0.0006452243,0.0006359193,0.00063942274,0.00061929127,0.0006535115,0.0006563659,0.00064345216,0.0006373971,0.0006388897,0.0006631947,0.00066770904,0.00065438147,0.00063224236,0.0006240547,0.00065632426,0.00065670087,0.00063299446,0.00062673714,0.000665367,0.00067730516,0.00065368414,0.0006430353,0.00064429245,0.0006161049,0.00067315524,0.0006421204,0.0006423237,0.00063912827,0.00065007556,0.0006419676,0.0006652598,0.00064589875,0.0006588406,0.0006280148,0.0006411682,0.0006094189,0.0006473513,0.0006330213,0.00062749727,0.00064459484,0.0006475783,0.0006498949,0.0006344243,0.0006446772,0.0006216256,0.0006379487,0.00064339815,0.0006168049,0.00061984314,0.0006718805,0.00062935095,0.0006498066,0.0006584273,0.0006139099,0.00064313924,0.00065592537,0.00065286766,0.00066048,0.0006517734,0.0006386024,0.000691668,0.0006758418,0.0006426089,0.00063751964,0.00064302824,0.0006732493,0.000649103,0.00066239986,0.0006424214,0.0006227797,0.00061991706,0.0006670169,0.0006505944,0.00065902754,0.0006383364,0.0006558002,0.0006360127,0.00064028194,0.0006683988,0.00065866904,0.00064515695,0.0006488669,0.0006347233,0.0006414541,0.0006582568,0.00065055257,0.0006538484,0.0006239178,0.0006759971,0.0006350944,0.000662541,0.00063869654
